Customer_Index,Cluster,Churn_Probability,Recommendations
1081,0,0.8858,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
1082,3,0.8621,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1083,0,0.8528,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1084,1,0.4743,Promote yearly subscription plans | Recommend bundled services to increase value
1085,3,0.6029,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1086,3,0.7497,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1087,0,0.9444,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
1088,2,0.4426,Provide personalized pricing / bundle offers
1089,0,0.8619,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
1090,3,0.7944,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1091,1,0.1903,Stay connected with loyalty offers
1092,3,0.8944,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1093,0,0.8205,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1094,3,0.4023,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1095,3,0.3223,Promote yearly subscription plans | Recommend bundled services to increase value
1096,3,0.8165,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1097,0,0.7516,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1098,3,0.9039,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount
1099,0,0.8133,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1100,0,0.6456,Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
1101,2,0.6621,Provide personalized pricing / bundle offers
1102,0,0.7573,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1103,0,0.9521,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
1104,3,0.5757,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
1105,0,0.9304,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
1106,3,0.9278,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1107,3,0.9481,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1108,3,0.7113,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
1109,3,0.8971,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1110,0,0.8479,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount
1111,0,0.853,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
1112,1,0.0485,Promote yearly subscription plans
1113,1,0.7257,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1114,0,0.459,Stay connected with loyalty offers
1115,2,0.4123,Provide personalized pricing / bundle offers
1116,3,0.5571,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1117,0,0.6776,Promote yearly subscription plans | Provide onboarding support & welcome discount
1118,2,0.565,Promote yearly subscription plans | Provide personalized pricing / bundle offers
1119,2,0.2819,Provide personalized pricing / bundle offers
1120,1,0.6139,Promote yearly subscription plans | Provide personalized pricing / bundle offers
1121,3,0.0781,Recommend bundled services to increase value | Promote Online Security + Tech Support package
1122,1,0.6033,Promote yearly subscription plans
1123,3,0.6812,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
1124,2,0.5097,Provide personalized pricing / bundle offers
1125,0,0.9299,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
1126,3,0.4946,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
1127,3,0.766,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1128,0,0.8197,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
1129,1,0.1017,Promote yearly subscription plans
1130,0,0.8173,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
1131,3,0.7129,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
1132,0,0.8186,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1133,0,0.9241,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1134,0,0.4854,Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
1135,0,0.9662,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
1136,0,0.7664,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1137,1,0.6814,Promote yearly subscription plans
1138,3,0.8012,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1139,3,0.8358,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1140,3,0.6102,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1141,3,0.9477,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
1142,3,0.927,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
1143,0,0.7914,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1144,3,0.8131,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1145,1,0.6485,Promote yearly subscription plans | Provide personalized pricing / bundle offers
1146,0,0.8136,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount
1147,1,0.0327,Stay connected with loyalty offers
1148,0,0.8637,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
1149,2,0.6898,Promote yearly subscription plans | Provide personalized pricing / bundle offers
1150,3,0.8763,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1151,1,0.3096,Promote yearly subscription plans
1152,0,0.877,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
1153,0,0.7226,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1154,3,0.8983,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1155,1,0.096,Stay connected with loyalty offers
1156,3,0.4445,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1157,0,0.8112,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1158,0,0.9125,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1159,3,0.4564,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1160,0,0.8953,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1161,0,0.8351,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1162,1,0.4539,Promote yearly subscription plans
1163,0,0.9199,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
1164,3,0.7749,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
1165,1,0.7815,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1166,0,0.9627,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
1167,0,0.8565,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1168,3,0.9301,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1169,1,0.5163,Promote yearly subscription plans | Provide personalized pricing / bundle offers
1170,0,0.9104,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1171,3,0.4418,Promote yearly subscription plans | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1172,1,0.5798,Promote yearly subscription plans | Provide personalized pricing / bundle offers
1173,3,0.5059,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1174,3,0.9213,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1175,3,0.8498,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1176,1,0.4448,Promote yearly subscription plans | Recommend bundled services to increase value
1177,3,0.928,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1178,3,0.7781,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans
1179,2,0.771,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
1180,0,0.7568,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1181,0,0.9129,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
1182,2,0.0638,Provide personalized pricing / bundle offers
1183,0,0.9092,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
1184,3,0.8506,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
1185,3,0.1753,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1186,1,0.7793,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1187,1,0.1337,Provide personalized pricing / bundle offers
1188,3,0.8368,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount
1189,3,0.8063,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans
1190,0,0.8854,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1191,3,0.931,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1192,0,0.8285,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
1193,2,0.2222,Stay connected with loyalty offers
1194,3,0.7777,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1195,0,0.9591,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1196,1,0.8485,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1197,0,0.6472,Promote yearly subscription plans | Provide personalized pricing / bundle offers
1198,3,0.9231,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1199,0,0.832,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
1200,3,0.7167,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
1201,3,0.5183,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1202,3,0.3603,Promote yearly subscription plans | Recommend bundled services to increase value
1203,0,0.9668,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
1204,0,0.7791,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1205,0,0.8546,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
1206,2,0.3615,Provide personalized pricing / bundle offers
1207,1,0.5745,Promote yearly subscription plans
1208,3,0.8721,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount
1209,0,0.8797,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
1210,0,0.923,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
1211,3,0.177,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1212,3,0.9257,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1213,3,0.9461,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1214,2,0.0831,Stay connected with loyalty offers
1215,2,0.8608,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1216,0,0.6341,Promote yearly subscription plans | Provide personalized pricing / bundle offers
1217,0,0.1622,Promote yearly subscription plans
1218,3,0.5004,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1219,3,0.8986,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1220,3,0.87,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1221,0,0.8726,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1222,0,0.7306,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1223,2,0.588,Provide personalized pricing / bundle offers
1224,0,0.8312,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
1225,0,0.9511,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
1226,0,0.8736,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
1227,0,0.6782,Promote yearly subscription plans | Provide personalized pricing / bundle offers
1228,2,0.3213,Provide personalized pricing / bundle offers
1229,0,0.8147,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1230,2,0.713,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1231,2,0.168,Provide personalized pricing / bundle offers
1232,1,0.7609,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans
1233,3,0.7829,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1234,0,0.7973,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
1235,3,0.5166,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1236,3,0.9202,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
1237,3,0.7181,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount
1238,2,0.1408,Stay connected with loyalty offers
1239,0,0.8667,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
1240,3,0.5016,Promote yearly subscription plans | Recommend bundled services to increase value
1241,3,0.9286,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1242,3,0.7169,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
1243,3,0.4023,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1244,0,0.9077,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1245,3,0.7006,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount
1246,0,0.9487,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1247,3,0.8018,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1248,0,0.9081,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1249,0,0.3434,Stay connected with loyalty offers
1250,0,0.7296,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1251,3,0.7647,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1252,3,0.853,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1253,2,0.6484,Provide personalized pricing / bundle offers
1254,3,0.0938,Recommend bundled services to increase value | Promote Online Security + Tech Support package
1255,0,0.9783,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
1256,0,0.7498,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1257,3,0.6786,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1258,0,0.3416,Promote yearly subscription plans | Provide onboarding support & welcome discount
1259,0,0.7532,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1260,3,0.3273,Recommend bundled services to increase value | Promote Online Security + Tech Support package
1261,3,0.0288,Recommend bundled services to increase value | Promote Online Security + Tech Support package
1262,3,0.7375,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount
1263,0,0.887,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
1264,0,0.7719,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1265,3,0.945,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1266,3,0.7165,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1267,3,0.5507,Promote yearly subscription plans | Provide onboarding support & welcome discount
1268,3,0.6964,Promote yearly subscription plans | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1269,0,0.9241,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
1270,3,0.8833,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1271,0,0.8221,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1272,3,0.9041,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1273,0,0.86,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1274,1,0.3757,Promote yearly subscription plans | Provide personalized pricing / bundle offers
1275,2,0.5247,Promote yearly subscription plans | Provide personalized pricing / bundle offers
1276,0,0.7657,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
1277,3,0.7519,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
1278,3,0.6949,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1279,3,0.8154,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1280,0,0.7945,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
1281,0,0.8012,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers | Promote Online Security + Tech Support package
1282,3,0.9176,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value
1283,0,0.9117,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers
1284,0,0.8067,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1285,2,0.1018,Provide personalized pricing / bundle offers
1286,0,0.7104,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1287,3,0.9076,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1288,3,0.3012,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1289,0,0.7489,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1290,3,0.5651,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1291,3,0.4796,Promote yearly subscription plans | Provide onboarding support & welcome discount | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1292,0,0.8899,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount | Provide personalized pricing / bundle offers | Recommend bundled services to increase value | Promote Online Security + Tech Support package
1293,0,0.8862,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide personalized pricing / bundle offers
1294,0,0.8066,🚨 URGENT RETENTION: Personalized Call + Special Offer | Promote yearly subscription plans | Provide onboarding support & welcome discount
